id,Basic Income Type,Income Test,Payment Unit,Payment Unit2,Benefit Level,scaling Factor,BRR,Break-Even Point,All Recipients,Gross Cost,Gross Cost(M), Gross Cost to Parents , Gross Cost to Coupled Recipients , Gross Cost Families - Quartile 1 , Gross Cost Families - Quartile 2 , Gross Cost Families - Quartile 3 , Gross Cost Families - Quartile 4 , Gross Cost Individuals - Quartile 1 , Gross Cost Individuals - Quartile 2 , Gross Cost Individuals - Quartile 3 , Gross Cost Individuals - Quartile 4 ,Percentage Change in Poverty Rate,% change in PR,Poverty Rate After Basic Income,Poverty Reduction Efficiency,Poverty Reduction Efficiency (B),Mean Change in Depth of Poverty,% Change in PD,Depth of Poverty Efficiency,Percentage Change in Gini Coefficient (family income),Gini Coefficient (family income) Efficiency,Percentage Change in Gini Coefficient (individual income),Gini Coefficient (individual income) Efficiency,Mean Age of Recipients,Poverty Rate Before Basic Income, Poverty count with Basic Income , Total Number of People In Poverty Before BI , Mean Depth of Poverty After Basic Income , Mean Depth of Poverty Before BI (for recipients) ,"Gini Coefficient after BI, families",Gini Coefficient Before BI - family income,"Gini Coefficient after BI, individuals",Gini Coefficient Before BI - individual income,Total Mean Age,Total Number of Parents,Total Number of people that are in a Couple,Total Working-Age Population,Number of Recipients that are in a Couple,Number of Recipients that are Parents
21,RTC,Family,SQRT(2),Family,5000,sqrt(N),50,10000,277201,"$881,547,132.34 ",882,"$68,014,984 ","$78,277,530 ","$881,538,757 ","$8,375 ", $-   , $-   ,"$881,492,416 ","$54,716 ", $-   , $-   ,-0.17,-16.89,0.078680411,1.92E-10,93758,-0.101565284,-10.16,1.15E-10,-0.207468867,2.35E-10,-0.232575119,2.64E-10,30,0.094671488,"406,670","489,322","$1,732 ","$1,957 ",0.506566947,0.611663818,0.496248717,0.570196688,41,"1,695,015","2,481,629","5,168,631","28,843","21,853"
22,RTC,Family,SQRT(2),Family,5000,sqrt(N),75,6667,202114,"$734,296,045.97 ",734,"$59,173,634 ","$62,124,415 ","$734,295,983 ",$63 , $-   , $-   ,"$734,295,983 ",$63 , $-   , $-   ,-0.17,-16.89,0.078680411,2.30E-10,112560,-0.082405662,-8.24,1.12E-10,-0.204687521,2.79E-10,-0.229648963,3.13E-10,30,0.094671488,"406,670","489,322","$1,767 ","$1,957 ",0.507736496,0.611663818,0.497429621,0.570196688,41,"1,695,015","2,481,629","5,168,631","20,391","17,892"
23,RTC,Family,Per Capita,Individual,5000,N,15,33333,886684,"$2,335,347,344.45 ",2335,"$263,617,215 ","$312,102,521 ","$2,050,408,339 ","$284,879,343 ","$39,572 ","$20,092 ","$1,906,124,083 ","$428,846,129 ","$367,087 ","$10,046 ",-0.33,-32.52,0.063882291,1.39E-10,68143,-0.488398832,-48.84,2.09E-10,-0.231737211,9.92E-11,-0.257240295,1.10E-10,34,0.094671488,"330,184","489,322","$1,458 ","$1,957 ",0.496586296,0.611663818,0.486513061,0.570196688,41,"1,695,015","2,481,629","5,168,631","165,283","120,428"
24,RTC,Family,Per Capita,Individual,5000,N,30,16667,473246,"$1,270,833,177.70 ",1271,"$101,218,003 ","$123,013,876 ","$1,269,962,832 ","$870,345 ", $-   , $-   ,"$1,267,371,025 ","$3,462,153 ", $-   , $-   ,-0.18,-18.13,0.077503696,1.43E-10,69823,-0.172245821,-17.22,1.36E-10,-0.214594215,1.69E-10,-0.239889234,1.89E-10,32,0.094671488,"400,588","489,322","$1,642 ","$1,957 ",0.5035952,0.611663818,0.493321341,0.570196688,41,"1,695,015","2,481,629","5,168,631","51,458","44,997"
25,RTC,Family,Per Capita,Individual,5000,N,50,10000,277201,"$895,006,991.00 ",895,"$79,239,139 ","$91,737,389 ","$894,998,616 ","$8,375 ", $-   , $-   ,"$894,952,275 ","$54,716 ", $-   , $-   ,-0.17,-16.89,0.078680411,1.89E-10,92348,-0.103334257,-10.33,1.15E-10,-0.20772849,2.32E-10,-0.232868657,2.60E-10,30,0.094671488,"406,670","489,322","$1,725 ","$1,957 ",0.506458051,0.611663818,0.496130561,0.570196688,41,"1,695,015","2,481,629","5,168,631","28,843","21,853"
26,RTC,Family,Per Capita,Individual,5000,N,75,6667,202114,"$745,482,035.75 ",745,"$68,303,305 ","$73,310,405 ","$745,481,973 ",$63 , $-   , $-   ,"$745,481,973 ",$63 , $-   , $-   ,-0.17,-16.89,0.078680411,2.27E-10,110871,-0.083839641,-8.38,1.12E-10,-0.204902098,2.75E-10,-0.229893997,3.08E-10,30,0.094671488,"406,670","489,322","$1,761 ","$1,957 ",0.507646071,0.611663818,0.497330517,0.570196688,41,"1,695,015","2,481,629","5,168,631","20,391","17,892"
27,RTC,Individual,SQRT(2),Family,5000,sqrt(N),15,33333,1378234,"$3,277,163,383.76 ",3277,"$732,965,933 ","$1,253,918,561 ","$2,044,172,373 ","$519,619,992 ","$420,312,283 ","$293,058,736 ","$2,615,142,233 ","$657,919,085 ","$4,084,388 ","$17,678 ",-0.35,-35.08,0.061459795,1.07E-10,52380,-0.504937327,-50.49,1.54E-10,-0.234613553,7.16E-11,-0.276018977,8.42E-11,37,0.094671488,"317,663","489,322","$1,437 ","$1,957 ",0.495429373,0.611663818,0.479353228,0.570196688,41,"1,695,015","2,481,629","5,168,631","656,833","357,452"
28,RTC,Individual,SQRT(2),Family,5000,sqrt(N),30,16667,750193,"$1,889,405,256.00 ",1889,"$440,745,347 ","$741,585,954 ","$1,315,126,866 ","$160,819,149 ","$229,844,775 ","$183,614,466 ","$1,874,940,742 ","$14,446,837 ", $-   ,"$17,678 ",-0.26,-25.92,0.070132688,1.37E-10,67128,-0.230941678,-23.09,1.22E-10,-0.217260227,1.15E-10,-0.253527194,1.34E-10,36,0.094671488,"362,490","489,322","$1,601 ","$1,957 ",0.502492239,0.611663818,0.48795417,0.570196688,41,"1,695,015","2,481,629","5,168,631","328,405","189,813"
29,RTC,Individual,SQRT(2),Family,5000,sqrt(N),50,10000,479507,"$1,369,506,947.15 ",1370,"$353,676,916 ","$566,237,345 ","$939,512,089 ","$109,566,408 ","$172,742,065 ","$147,686,385 ","$1,365,840,352 ","$3,648,918 ", $-   ,"$17,678 ",-0.25,-24.67,0.071317725,1.80E-10,88139,-0.160158995,-16.02,1.17E-10,-0.209716707,1.53E-10,-0.243616298,1.78E-10,36,0.094671488,"368,615","489,322","$1,684 ","$1,957 ",0.505625667,0.611663818,0.49184288,0.570196688,41,"1,695,015","2,481,629","5,168,631","231,149","129,957"
30,RTC,Individual,SQRT(2),Family,5000,sqrt(N),75,6667,359223,"$1,156,856,682.43 ",1157,"$311,522,703 ","$484,685,052 ","$789,576,818 ","$89,652,715 ","$148,667,526 ","$128,959,623 ","$1,156,786,507 ","$52,498 ", $-   ,"$17,678 ",-0.21,-21.11,0.074684575,1.82E-10,89298,-0.126498783,-12.65,1.09E-10,-0.206613287,1.79E-10,-0.239307672,2.07E-10,36,0.094671488,"386,017","489,322","$1,721 ","$1,957 ",0.506926145,0.611663818,0.493552838,0.570196688,41,"1,695,015","2,481,629","5,168,631","177,500","111,560"
